num_nodes,spectral_gap,avg_shortest_path,cost,super_spectral_gap,super_cost
89.0,0.1168446314371403,1.3819951338199514,10.786498074601571,0.15344355181997993,9.415392269659286
90.0,0.12244416691045812,1.3829268292682926,10.53584250948545,0.15686325052423744,9.296495634288226
91.0,0.12936839713628012,1.3838630806845966,10.24604737408961,0.16335927893666413,9.089661158101173
92.0,0.1289851565704373,1.3848039215686274,10.247358401931672,0.16299273252875124,9.088737238145262
93.0,0.12854955097192478,1.3857493857493857,10.250691213592484,0.16255781802778713,9.089807322554101
94.0,0.12801154803996373,1.3866995073891626,10.258007382955935,0.16201284566994956,9.094109377901473
95.0,0.12800218314334466,1.3876543209876544,10.244764218255472,0.16207665658910553,9.080511041271938
96.0,0.12757385119413334,1.3886138613861385,10.247795873256537,0.16171148874858243,9.07950431124699
97.0,0.12731746993614923,1.3895781637717122,10.244130301804521,0.16150331319919897,9.073876420296463
98.0,0.13699130026878503,1.390547263681592,9.86963257783869,0.1691237108223077,8.84490249317933
99.0,0.14001363503054198,1.3915211970074812,9.749978585875503,0.17057635668480653,8.793563405328841
100.0,0.1467620431836818,1.3925,9.508892565545098,0.17692543718847997,8.612824113733009
101.0,0.14638637676596322,1.3884711779448622,9.503738905337551,0.1765740521061896,8.60594313459707
102.0,0.15066046216742102,1.3768844221105527,9.34050759488206,0.18051969001814328,8.480984968115104
103.0,0.14994291973048823,1.3753148614609572,9.348495638783174,0.17983533301169585,8.484908707649508
104.0,0.15005210088924115,1.3762626262626263,9.33266672945118,0.17999193763555665,8.470010391395014
105.0,0.14949546659529522,1.3721518987341772,9.332986654417756,0.17951623445579246,8.466087660968899
106.0,0.1448052676585171,1.3477157360406091,9.447501458368567,0.17489901468129987,8.548723379544867
107.0,0.1370973673201311,1.3435114503816794,9.692612616228969,0.16743293338139764,8.733145486318795
108.0,0.12979134743280962,1.3392857142857142,9.939398507581918,0.15968699407618914,8.93656740440976
109.0,0.13708458285169045,1.340153452685422,9.661720471206198,0.16571625246127863,8.75257675188537
110.0,0.1399336996632261,1.341025641025641,9.549965625215581,0.1673065365364319,8.696962490373204
111.0,0.14486562433847683,1.3419023136246786,9.371980065419741,0.17117939019315198,8.580584527170652
112.0,0.14945320816961016,1.342783505154639,9.2119203379699,0.17552640081068227,8.45526275587791
113.0,0.14844128014222735,1.3385012919896642,9.226384528103116,0.17451506649610304,8.465153202680419
114.0,0.1485372356725866,1.33419689119171,9.205747075064776,0.1746449381311087,8.44546628548705
