num_nodes,spectral_gap,avg_shortest_path,cost,super_spectral_gap,super_cost
2.0,0.0,151.5,159.03388708058014,0.4999999999999999,153.36641893167737
3.0,0.4999999999999999,151.80281690140845,153.66923583308582,0.6666666666666667,153.55928613376926
4.0,0.6666666666666667,152.10685483870967,153.86332407107048,0.75,153.87571236870468
5.0,0.75,152.4121212121212,154.18097874211622,0.8,154.21146202351918
6.0,0.8,152.71862348178138,154.51796429317935,0.8333333333333334,154.54941148392066
7.0,0.8333333333333334,153.026369168357,154.8571571704963,0.8571428571428571,154.88577092534072
8.0,0.8571428571428571,153.33536585365854,155.19476761064226,0.875,155.2198647231375
9.0,0.875,153.64562118126273,155.5301200507417,0.8888888888888888,155.5518601052081
10.0,0.8888888888888888,153.95714285714286,155.86338178108824,0.8999999999999999,155.88213834297463
11.0,0.8999999999999999,154.26993865030676,156.19493413613853,0.9090909090909091,156.21110280035862
12.0,0.9090909090909091,154.58401639344262,156.52518054349449,0.9166666666666666,156.53912118033483
13.0,0.9166666666666666,154.8993839835729,156.8544887704651,0.923076923076923,156.86651218300656
14.0,0.923076923076923,155.21604938271605,157.1831775821497,0.9285714285714285,157.19354695542006
15.0,0.9285714285714285,155.5340206185567,157.5115181912607,0.9333333333333332,157.5204549453912
16.0,0.9333333333333332,155.85330578512398,157.8397401119585,0.9375,157.84743045719588
17.0,0.9375,156.17391304347825,158.16803771555016,0.9411764705882353,158.17463865631365
18.0,0.9411764705882353,156.49585062240664,158.49657623524203,0.9444444444444444,158.50222068661452
19.0,0.9444444444444444,156.8191268191268,158.8254968833347,0.9473684210526315,158.83029789841336
20.0,0.9473684210526315,157.14375,159.15492107928657,0.95,159.15897529543273
21.0,0.95,157.4697286012526,159.4849538966853,0.9523809523809523,159.48834433149506
22.0,0.9523809523809523,157.79707112970712,159.81568685994958,0.9545454545454545,159.81848517900892
23.0,0.9545454545454545,158.125786163522,160.1472002128238,0.9565217391304347,160.1494685731269
24.0,0.9565217391304347,158.4558823529412,160.4795647625461,0.9583333333333333,160.48135731640397
25.0,0.9583333333333333,158.78736842105263,160.81284338451542,0.96,160.81420751186766
26.0,0.96,159.12025316455697,161.147092255372,0.9615384615384615,161.14806957837484
27.0,0.9615384615384615,159.45454545454547,161.48236186836334,0.9629629629629628,161.48298909084673
28.0,0.9629629629629628,159.79025423728814,161.8186978735894,0.9642857142857143,161.81900747905806
29.0,0.9642857142857143,160.12738853503186,162.15614177680177,0.9655172413793103,162.15616261165727
30.0,0.9655172413793103,160.46595744680852,162.49473152343393,0.9666666666666666,162.4944892866193
31.0,0.9666666666666666,160.80597014925374,162.83450198906453,0.9677419354838709,162.83401964504765
32.0,0.9677419354838709,161.14743589743588,163.1754853932298,0.96875,163.1747835218816
33.0,0.96875,161.49036402569592,163.51771165014165,0.9696969696969696,163.5168087444224
34.0,0.9696969696969696,161.83476394849785,163.86120866722433,0.9705882352941176,163.86012138750434
35.0,0.9705882352941176,162.18064516129033,164.2060026002968,0.9714285714285714,164.20474599248428
36.0,0.9714285714285714,162.5280172413793,164.55211807257325,0.9722222222222222,164.55070575590457
37.0,0.9722222222222222,162.87688984881208,164.89957836333735,0.9729729729729728,164.8980226926315
38.0,0.9729729729729728,163.22727272727272,165.24840557109215,0.9736842105263157,165.24671777742492
39.0,0.9736842105263157,163.57917570498915,165.59862075514135,0.9743589743589742,165.5968110682112
40.0,0.9743589743589742,163.93260869565216,165.9502440588742,0.975,165.9483218137782
41.0,0.975,164.28758169934642,166.30329481747245,0.975609756097561,166.30126854815995
42.0,0.975609756097561,164.64410480349346,166.657791652307,0.9761904761904762,166.65566917360923
43.0,0.9761904761904762,165.00218818380745,167.0137525539232,0.9767441860465116,167.0115410337543
44.0,0.9767441860465116,165.36184210526315,167.37119495521,0.9772727272727272,167.36890097828646
45.0,0.9772727272727272,165.72307692307692,167.73013579610023,0.9777777777777777,167.72776542031733
46.0,0.9777777777777777,166.08590308370043,168.09059158094084,0.9782608695652174,168.08815038737438
47.0,0.9782608695652174,166.4503311258278,168.45257842950176,0.9787234042553191,168.45007156685972
48.0,0.9787234042553191,166.81637168141592,168.81611212244783,0.9791666666666666,168.81354434667722
49.0,0.9791666666666666,167.1840354767184,169.1812081419797,0.9795918367346939,169.17858385163228
50.0,0.9795918367346939,167.55333333333334,169.54788170824722,0.98,169.54520497612484
51.0,0.98,167.92427616926503,169.91614781205652,0.9803921568627451,169.91342241358353
52.0,0.9803921568627451,168.296875,170.2860212443185,0.9807692307692307,170.28325068302902
53.0,0.9807692307692307,168.6711409395973,170.65751662262633,0.9811320754716981,170.65470415310222
54.0,0.9811320754716981,169.04708520179372,171.03064841529863,0.9814814814814815,171.02779706385022
55.0,0.9814814814814815,169.4247191011236,171.4054309631801,0.9818181818181818,171.40254354652387
56.0,0.9818181818181818,169.80405405405406,171.78187849945434,0.9821428571428571,171.77895764161
57.0,0.9821428571428571,170.18510158013544,172.16000516769137,0.9824561403508771,172.157053315292
58.0,0.9824561403508771,170.56787330316743,172.53982503832398,0.9827586206896551,172.53684447451081
59.0,0.9827586206896551,170.95238095238096,172.92135212372435,0.983050847457627,172.9183449807751
60.0,0.983050847457627,171.33863636363637,173.3046003920305,0.9833333333333333,173.30156866285387
61.0,0.9833333333333333,171.72665148063783,173.68958377985533,0.983606557377049,173.6865293284681
62.0,0.983606557377049,172.1164383561644,174.07631620399468,0.9838709677419355,174.07324077508434
63.0,0.9838709677419355,172.50800915331808,174.46481157223803,0.9841269841269841,174.4617167999022
