num_nodes,spectral_gap,avg_shortest_path,cost,super_spectral_gap,super_cost
126.0,0.5509984692877679,1.0,3.086538638961454,0.5792288845342131,2.9936893192521588
127.0,0.5563833228024038,1.0,3.0630801017945353,0.5839982341073972,2.973720508946255
128.0,0.5588015325437317,1.0,3.049207957255589,0.5860930837393055,2.9616628921515242
129.0,0.5563873289358396,1.0,3.050440774222747,0.5823057700409366,2.966504464740499
130.0,0.5593745913007593,1.0,3.034893914332973,0.5849831141958082,2.9528120970295464
131.0,0.5581725613942192,1.0,3.0323595818534135,0.583652145390626,2.950613662845728
132.0,0.5589931589359609,1.0,3.0236040349583337,0.5843250383353271,2.942718657473198
133.0,0.5601088196572874,1.0,3.01398766409502,0.5853266193317722,2.9339285111238285
134.0,0.5599285910185499,1.0,3.0083577323301127,0.5849733694875976,2.928989130606137
135.0,0.5607112351968404,1.0,2.999823998910191,0.5855003013729043,2.9215913783693006
136.0,0.5639101376204285,1.0,2.9840809687121097,0.5884041147956565,2.9076128019760854
137.0,0.5652191398985567,1.0,2.9740990954010558,0.5895671101201722,2.8985494297722694
138.0,0.5668766321938007,1.0,2.963147575589221,0.5910274557449545,2.888720398220517
139.0,0.5688318878014322,1.0,2.9513986626537854,0.5927120164838139,2.8783414344372433
140.0,0.5689892709234455,1.0,2.9449485055239646,0.5934317679164854,2.8706285954551873
141.0,0.5692274479835703,1.0,2.9382846563900475,0.5936021648368413,2.8644238826261654
142.0,0.572269841462016,1.0,2.9235853840337453,0.5963233949721976,2.8514315162118375
143.0,0.574437877702871,1.0,2.911510491252561,0.5975375711968804,2.8425289399065843
144.0,0.5685951026270916,1.0,2.922289224902144,0.5924653246493377,2.8503202935943923
145.0,0.5659506030075672,1.0,2.9239905137446653,0.5900477072486771,2.8510944419802002
146.0,0.568173241472685,1.0,2.911695045994182,0.5919813640639406,2.840245530565717
147.0,0.5702184797938139,1.0,2.90000074728645,0.5937975678235321,2.8297830149626773
148.0,0.5697176638626604,1.0,2.8955734243352023,0.5932097154043237,2.825700906901413
149.0,0.5657372369143644,1.0,2.9010407348587903,0.5893888819004547,2.8301707479427094
