num_nodes,spectral_gap,avg_shortest_path,cost,trans_spectral_gap,trans_cost
2.0,0.0,2.7857142857142856,8.46030578081113,0.0,8.46030578081113
3.0,0.0,2.5876288659793816,10.839228675296123,0.0,10.839228675296123
4.0,6.661338147750939e-16,2.375,12.122672943799616,6.661338147750939e-16,12.122672943799616
5.0,-2.220446049250313e-16,2.2842105263157895,13.002348874639631,-2.220446049250313e-16,13.002348874639631
6.0,-2.220446049250313e-16,2.234042553191489,13.621900489542403,-2.220446049250313e-16,13.621900489542403
7.0,0.0,2.21505376344086,14.08270583660754,0.0,14.08270583660754
8.0,-2.220446049250313e-16,2.108695652173913,14.327939998282456,0.15226212028334318,6.952563741597626
9.0,9.992007221626409e-16,2.010989010989011,14.491025426913763,0.1496495392741083,7.010011421449841
10.0,1.6653345369377348e-15,1.9555555555555555,14.629694228009408,0.13316412598250138,7.391271113876583
11.0,-1.3322676295501878e-15,1.898876404494382,14.716725325998603,0.0707334421093575,9.406397346580242
12.0,3.3306690738754696e-16,1.8863636363636365,14.808969653354627,0.04412941182418306,10.852337932265668
13.0,5.551115123125783e-16,1.896551724137931,14.89323915858846,0.03260670093424989,11.697479839297603
14.0,0.0,1.8488372093023255,14.895073666096938,0.044615873333472056,10.870140442531152
15.0,0.035991840503088235,1.8588235294117648,11.474040551089464,0.11991256913772363,7.8047822562896005
16.0,0.082416679763342,1.8214285714285714,8.996926842203342,0.06983211949892043,9.528631272921418
17.0,0.12815025700937777,1.783132530120482,7.520247196462575,0.18596364980920244,6.360372282416081
18.0,0.12814721948790164,1.7560975609756098,7.488344135906954,0.1849674492933432,6.3453800237013755
19.0,0.11439973189474095,1.7160493827160495,7.806200560623063,0.16009176010064474,6.736303693104208
20.0,0.10011692433727548,1.675,8.185508290759037,0.15186201735203253,6.847923288381326
21.0,0.08854677719894488,1.6329113924050633,8.524171694414763,0.1460106151910917,6.914492107016464
22.0,0.07817456946394563,1.5769230769230769,8.846269069175419,0.1291348879312122,7.229543697676609
23.0,0.07287385093489862,1.5324675324675325,8.998079670510656,0.10767154617733454,7.747132678687236
24.0,0.07332692774326033,1.513157894736842,8.930265102844652,0.14057180348464593,6.85702773526771
25.0,0.1029374370343823,1.4933333333333334,7.801669326170007,0.1281065064588105,7.105613132854033
26.0,0.08827638379692482,1.472972972972973,8.242269943651918,0.10144119940374507,7.799875107488434
27.0,0.08788952729089206,1.452054794520548,8.20352732347365,0.1013433271090175,7.752392631371704
28.0,0.08773657957661662,1.4305555555555556,8.154503985050026,0.10133684206034066,7.700302644488909
29.0,0.0876643766667643,1.408450704225352,8.100881380061475,0.10118973439501422,7.650970159519399
30.0,0.10753003530295424,1.4,7.420129825533465,0.13274310125266509,6.767969011743251
31.0,0.10898120991366034,1.391304347826087,7.337464595245267,0.13035674493410843,6.785701473908135
32.0,0.10275650599834074,1.3676470588235294,7.4625720777254205,0.12746089335593436,6.800606030019697
