num_nodes,spectral_gap,avg_shortest_path,cost,trans_spectral_gap,trans_cost
2.0,0.0,1.7676767676767677,8.243023285970612,0.0,8.243023285970612
3.0,0.4999999999999999,1.751269035532995,3.338063451091011,0.4999999999999999,3.338063451091011
4.0,0.6666666666666667,1.7346938775510203,3.215022093663241,0.6666666666666667,3.215022093663241
5.0,0.75,1.7179487179487178,3.19764682780838,0.75,3.19764682780838
6.0,0.8,1.7010309278350515,3.1963397771216346,0.8,3.1963397771216346
7.0,0.8333333333333334,1.6839378238341969,3.1963294983593196,0.8333333333333334,3.1963294983593196
8.0,0.8571428571428571,1.6666666666666667,3.1942870533815433,0.8571428571428571,3.1942870533815433
9.0,0.875,1.649214659685864,3.1895602785563852,0.875,3.1895602785563852
10.0,0.8888888888888888,1.631578947368421,3.1822273016404368,0.8888888888888888,3.1822273016404368
11.0,0.8999999999999999,1.6137566137566137,3.172557230510055,0.8999999999999999,3.172557230510055
12.0,0.9090909090909091,1.5957446808510638,3.160844772937373,0.9090909090909091,3.160844772937373
13.0,0.9166666666666666,1.5775401069518717,3.147359758767261,0.9166666666666666,3.147359758767261
14.0,0.923076923076923,1.5591397849462365,3.1323347884382593,0.923076923076923,3.1323347884382593
15.0,0.9285714285714285,1.5405405405405406,3.115965680257523,0.9285714285714285,3.115965680257523
16.0,0.9333333333333332,1.5217391304347827,3.098415820255238,0.9333333333333332,3.098415820255238
17.0,0.9375,1.5027322404371584,3.079821229202892,0.9375,3.079821229202892
18.0,0.9411764705882353,1.4835164835164836,3.0602952554071763,0.9411764705882353,3.0602952554071763
19.0,0.9444444444444444,1.4640883977900552,3.0399325874480745,0.9444444444444444,3.0399325874480745
20.0,0.9473684210526315,1.4444444444444444,3.018812570370498,0.9473684210526315,3.018812570370498
21.0,0.95,1.4245810055865922,2.99700190535758,0.95,2.99700190535758
22.0,0.9523809523809523,1.404494382022472,2.9745568348239138,0.9523809523809523,2.9745568348239138
23.0,0.9545454545454545,1.384180790960452,2.951524909387113,0.9545454545454545,2.951524909387113
24.0,0.9565217391304347,1.3636363636363635,2.9279464192403526,0.9565217391304347,2.9279464192403526
25.0,0.9583333333333333,1.3428571428571427,2.9038555574410925,0.9583333333333333,2.9038555574410925
26.0,0.96,1.3218390804597702,2.8792813691772494,0.96,2.8792813691772494
27.0,0.9615384615384615,1.300578034682081,2.854248529862806,0.9615384615384615,2.854248529862806
28.0,0.9629629629629628,1.2790697674418605,2.8287779858956568,0.9629629629629628,2.8287779858956568
29.0,0.9642857142857143,1.2573099415204678,2.802887484778859,0.9642857142857143,2.802887484778859
30.0,0.9655172413793103,1.2352941176470589,2.776592015714448,0.9655172413793103,2.776592015714448
31.0,0.9666666666666666,1.21301775147929,2.7499041774081694,0.9666666666666666,2.7499041774081694
32.0,0.9677419354838709,1.1904761904761905,2.7228344864079284,0.9677419354838709,2.7228344864079284
33.0,0.96875,1.1676646706586826,2.695391636624934,0.96875,2.695391636624934
34.0,0.9696969696969696,1.144578313253012,2.6675827185874414,0.9696969696969696,2.6675827185874414
35.0,0.9705882352941176,1.121212121212121,2.6394134053229945,0.9705882352941176,2.6394134053229945
36.0,0.9714285714285714,1.0975609756097562,2.610888110456602,0.9714285714285714,2.610888110456602
37.0,0.9722222222222222,1.0736196319018405,2.5820101230725525,0.9722222222222222,2.5820101230725525
38.0,0.9729729729729728,1.0493827160493827,2.552781723057784,0.9729729729729728,2.552781723057784
39.0,0.9736842105263157,1.0248447204968945,2.5232042799794474,0.9736842105263157,2.5232042799794474
40.0,0.9743589743589742,1.0,2.493278338013526,0.9743589743589742,2.493278338013526
41.0,0.830580189901513,1.0,2.719113525305251,0.830580189901513,2.719113525305251
42.0,0.4591527928977487,1.0,3.8527847287842523,0.4591527928977487,3.8527847287842523
43.0,0.37947518051385243,1.0,4.317031511834527,0.5035486410439318,3.635138536897526
44.0,0.2942015381020534,1.0,5.022450102541621,0.3694719426747386,4.377530951746886
45.0,0.29419438800937747,1.0,5.010241920143463,0.33915639880869175,4.599662588929163
46.0,0.2941634671833099,1.0,4.998131250151536,0.358380398157104,4.438011926665209
47.0,0.2941023332336682,1.0,4.986196034978109,0.35795745790924793,4.4303823007572545
48.0,0.290988481186487,1.0,5.005171397476427,0.34830473647629057,4.493105814360913
49.0,0.290988481186486,1.0,4.9922975522056285,0.34933858332277357,4.4738667328287995
