num_nodes,spectral_gap,avg_shortest_path,cost
2.0,0.0,151.5,159.03388708058014
3.0,0.4999999999999999,151.80281690140845,153.66923583308582
4.0,0.6666666666666667,152.10685483870967,153.86332407107048
5.0,0.75,152.4121212121212,154.18097874211622
6.0,0.8,152.71862348178138,154.51796429317935
7.0,0.8333333333333334,153.026369168357,154.8571571704963
8.0,0.8571428571428571,153.33536585365854,155.19476761064226
9.0,0.875,153.64562118126273,155.5301200507417
10.0,0.8888888888888888,153.95714285714286,155.86338178108824
11.0,0.8999999999999999,154.26993865030676,156.19493413613853
12.0,0.9090909090909091,154.58401639344262,156.52518054349449
13.0,0.9166666666666666,154.8993839835729,156.8544887704651
14.0,0.923076923076923,155.21604938271605,157.1831775821497
15.0,0.9285714285714285,155.5340206185567,157.5115181912607
16.0,0.9333333333333332,155.85330578512398,157.8397401119585
17.0,0.9375,156.17391304347825,158.16803771555016
18.0,0.9411764705882353,156.49585062240664,158.49657623524203
19.0,0.9444444444444444,156.8191268191268,158.8254968833347
20.0,0.9473684210526315,157.14375,159.15492107928657
21.0,0.95,157.4697286012526,159.4849538966853
22.0,0.9523809523809523,157.79707112970712,159.81568685994958
23.0,0.9545454545454545,158.125786163522,160.1472002128238
24.0,0.9565217391304347,158.4558823529412,160.4795647625461
25.0,0.9583333333333333,158.78736842105263,160.81284338451542
26.0,0.96,159.12025316455697,161.147092255372
27.0,0.9615384615384615,159.45454545454547,161.48236186836334
28.0,0.9629629629629628,159.79025423728814,161.8186978735894
29.0,0.9642857142857143,160.12738853503186,162.15614177680177
30.0,0.9655172413793103,160.46595744680852,162.49473152343393
31.0,0.9666666666666666,160.80597014925374,162.83450198906453
32.0,0.9677419354838709,161.14743589743588,163.1754853932298
33.0,0.96875,161.49036402569592,163.51771165014165
34.0,0.9696969696969696,161.83476394849785,163.86120866722433
35.0,0.9705882352941176,162.18064516129033,164.2060026002968
36.0,0.9714285714285714,162.5280172413793,164.55211807257325
37.0,0.9722222222222222,162.87688984881208,164.89957836333735
38.0,0.9729729729729728,163.22727272727272,165.24840557109215
39.0,0.9736842105263157,163.57917570498915,165.59862075514135
40.0,0.9743589743589742,163.93260869565216,165.9502440588742
41.0,0.975,164.28758169934642,166.30329481747245
42.0,0.975609756097561,164.64410480349346,166.657791652307
43.0,0.9761904761904762,165.00218818380745,167.0137525539232
44.0,0.9767441860465116,165.36184210526315,167.37119495521
45.0,0.9772727272727272,165.72307692307692,167.73013579610023
46.0,0.9777777777777777,166.08590308370043,168.09059158094084
47.0,0.9782608695652174,166.4503311258278,168.45257842950176
48.0,0.9787234042553191,166.81637168141592,168.81611212244783
49.0,0.9791666666666666,167.1840354767184,169.1812081419797
50.0,0.9795918367346939,167.55333333333334,169.54788170824722
51.0,0.98,167.92427616926503,169.91614781205652
52.0,0.9803921568627451,168.296875,170.2860212443185
53.0,0.9807692307692307,168.6711409395973,170.65751662262633
54.0,0.9811320754716981,169.04708520179372,171.03064841529863
55.0,0.9814814814814815,169.4247191011236,171.4054309631801
56.0,0.9818181818181818,169.80405405405406,171.78187849945434
57.0,0.9821428571428571,170.18510158013544,172.16000516769137
58.0,0.9824561403508771,170.56787330316743,172.53982503832398
59.0,0.9827586206896551,170.95238095238096,172.92135212372435
60.0,0.983050847457627,171.33863636363637,173.3046003920305
61.0,0.9833333333333333,171.72665148063783,173.68958377985533
62.0,0.983606557377049,172.1164383561644,174.07631620399468
63.0,0.9838709677419355,172.50800915331808,174.46481157223803
64.0,0.9841269841269841,172.901376146789,174.85508379337313
65.0,0.984375,173.29655172413794,175.24714678646615
66.0,0.9846153846153846,173.69354838709677,175.64101448948944
67.0,0.9848484848484849,174.09237875288684,176.0367008673618
68.0,0.9850746268656716,174.49305555555554,176.43421991945792
69.0,0.9852941176470587,174.8955916473318,176.83358568663988
70.0,0.9855072463768115,175.3,177.23481225785497
71.0,0.9857142857142857,175.7062937062937,177.63791377634314
72.0,0.9859154929577465,176.1144859813084,178.04290444548965
73.0,0.986111111111111,176.52459016393442,178.4497985343572
74.0,0.9863013698630136,176.93661971830986,178.8586103829275
75.0,0.9864864864864865,177.3505882352941,179.26935440707948
76.0,0.9866666666666666,177.76650943396226,179.68204510332868
77.0,0.9868421052631579,178.18439716312056,180.09669705335023
78.0,0.9870129870129869,178.6042654028436,180.51332492830542
79.0,0.9871794871794871,179.02612826603325,180.93194349299048
80.0,0.9873417721518988,179.45,181.35256760982392
81.0,0.9874999999999999,179.87589498806682,181.77521224268799
82.0,0.9876543209876543,180.30382775119617,182.1998924606375
83.0,0.9878048780487805,180.73381294964028,182.62662344148967
84.0,0.9879518072289156,181.1658653846154,183.05542047530528
85.0,0.988095238095238,181.6,183.48629896777285
86.0,0.988235294117647,182.03623188405797,183.9192744435049
87.0,0.9883720930232557,182.47457627118644,184.3543625492554
88.0,0.9885057471264368,182.91504854368932,184.7915790570667
89.0,0.9886363636363635,183.35766423357666,185.23093986735338
90.0,0.9887640449438202,183.80243902439025,185.67246101192993
91.0,0.9888888888888888,184.24938875305622,186.11615865698903
92.0,0.989010989010989,184.6985294117647,186.5620491060361
93.0,0.9891304347826086,185.14987714987714,187.01014880278544
94.0,0.989247311827957,185.60344827586206,187.46047433402376
95.0,0.9893617021276595,186.05925925925925,187.9130424324453
96.0,0.9894736842105263,186.51732673267327,188.3678699794632
97.0,0.9895833333333333,186.97766749379653,188.82497400800105
98.0,0.9896907216494845,187.4402985074627,189.28437170526902
99.0,0.9897959183673469,187.90523690773068,189.7460804155276
100.0,0.9898989898989898,188.3725,190.21011764284265
101.0,0.8953277227294874,187.8421052631579,189.85098270741798
102.0,0.2893371278137594,187.31155778894473,192.4386451443766
103.0,0.13300253699787334,186.78085642317382,195.3337250258067
104.0,0.07571958896680853,186.25,197.57210457140252
105.0,0.04874019209094327,185.71898734177216,199.07242029043283
106.0,0.03395710657793494,185.18781725888326,199.99009436373782
107.0,0.024998576501268577,184.65648854961833,200.49306814372065
108.0,0.019165561032782996,184.125,200.70891476294068
109.0,0.01515776258545476,183.5933503836317,200.72563222867316
110.0,0.012286541179120092,183.06153846153848,200.60238814875217
111.0,0.010159697738016726,182.52956298200513,200.3790128493792
112.0,0.008540617788229343,181.99742268041237,200.0826470735638
113.0,0.007279708722164213,181.46511627906978,199.73209175965818
114.0,0.006278651258968648,180.93264248704662,199.3406040106716
115.0,0.005470675934743485,180.4,198.9176981708005
116.0,0.004809153271824962,179.8671875,198.4703187138245
117.0,0.004260722048583632,179.33420365535247,198.00361533366672
118.0,0.003801004628296911,178.80104712041884,197.52146346308933
119.0,0.0034118534705240844,178.26771653543307,197.0268195842747
120.0,0.0030795340584864883,177.7342105263158,196.5219676653897
121.0,0.0027934972660863533,177.2005277044855,196.00869271472953
122.0,0.002545532382106752,176.66666666666666,195.48840478805013
123.0,0.0023291716554819653,176.13262599469496,194.9622288085797
124.0,0.0021392644934680183,175.59840425531914,194.43107046097086
125.0,0.001971668244155733,175.064,193.89566511416848
126.0,0.0018230204632762037,174.52941176470588,193.35661455294482
127.0,0.0016905690203601331,173.9946380697051,192.81441484652225
128.0,0.001572043846534421,173.45967741935485,192.2694777012646
129.0,0.0014655590559656817,172.9245283018868,191.72214697204828
130.0,0.0013695374903686108,172.38918918918918,191.17271154063096
131.0,0.0012826520027224841,171.85365853658536,190.62141544214597
132.0,0.0012037793672040609,171.3179347826087,190.0684658886956
133.0,0.0011319638052281755,170.78201634877385,189.5140396725638
134.0,0.0010663879013858013,170.24590163934425,188.95828831101235
135.0,0.0010063492464641444,169.70958904109588,188.40134220650455
136.0,0.0009512415540571251,169.17307692307693,187.84331403119413
137.0,0.0009005392977748938,168.63636363636363,187.284301496128
138.0,0.0008537851384344819,168.09944751381215,186.7243896293551
139.0,0.0008105795768075241,167.5623268698061,186.1636526597236
140.0,0.000770572392918778,167.025,185.6021555822466
141.0,0.0007334555278436516,166.4874651810585,185.03995546494122
142.0,0.0006989571367544967,165.94972067039106,184.47710254468873
143.0,0.0006668365980524449,165.41176470588235,183.9136411500671
144.0,0.000636880306901344,164.87359550561797,183.34961048161043
145.0,0.0006088981153287154,164.33521126760564,182.78504527407722
146.0,0.000582720307798712,163.79661016949152,182.219976360636
147.0,0.0005581950221090759,163.25779036827194,181.6544311551986
148.0,0.0005351860422829757,162.71875,181.0884340661575
149.0,0.0005135709032954017,162.17948717948718,180.5220068524468
150.0,0.0004932392583821832,161.64,179.95516893090013
151.0,0.00047409146806642877,161.1002865329513,179.38793764237462
152.0,0.0004560373772085624,160.56034482758622,178.82032848282014
153.0,0.00043899525195889577,160.02017291066284,178.25235530446705
154.0,0.00042289085318769626,159.47976878612718,177.68403049145277
155.0,0.0004076566266653092,158.9391304347826,177.11536511353572
156.0,0.00039323099356081137,158.39825581395348,176.5463690609435
157.0,0.0003795577272170947,157.85714285714286,175.97705116296476
158.0,0.00036658540451761645,157.31578947368422,175.40741929246087
159.0,0.0003542669217099226,156.7741935483871,174.8374804581895
160.0,0.000342559066247361,156.23235294117646,174.26724088651736
161.0,0.0003314221373331705,155.69026548672565,173.69670609389377
162.0,0.0003208196089546922,155.14792899408283,173.12588095125017
163.0,0.0003107178300126856,154.6053412462908,172.55476974133995
164.0,0.0003010857570210357,154.0625,171.9833762098713
165.0,0.00029189471533974665,153.51940298507463,171.41170361119333
166.0,0.0002831181855169618,152.9760479041916,170.83975474918273
167.0,0.0002747316118035803,152.43243243243242,170.26753201388618
168.0,0.0002667122302165703,151.88855421686748,169.69503741441525
169.0,0.0002590389139002225,151.34441087613294,169.12227260852032
170.0,0.00025169203386898875,150.8,168.54923892920772
171.0,0.00024465333334267036,150.25531914893617,167.9759374087392
172.0,0.00023790581420946033,149.71036585365854,167.4023688002931
173.0,0.00023143363435385034,149.1651376146789,166.82853359752752
174.0,0.00022522201455121849,148.61963190184048,166.25443205229212
175.0,0.0002192571540409194,148.07384615384615,165.68006419065915
176.0,0.00021352615381087237,147.52777777777777,165.1054298274573
177.0,0.00020801694679661864,146.9814241486068,164.53052857946105
178.0,0.00020271823433037905,146.43478260869566,163.95535987736298
179.0,0.00019761942814999767,145.88785046728972,163.37992297665994
180.0,0.00019271059746450714,145.340625,162.80421696755045
181.0,0.0001879824205874847,144.79310344827587,162.2282407839371
182.0,0.0001834261406206128,144.24528301886792,161.65199321163144
183.0,0.00017903352489945235,143.69716088328076,161.07547289581913
184.0,0.00017479682779264483,143.1487341772152,160.49867834786187
185.0,0.00017070875648461659,142.6,159.92160795150673
